trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
110,False,"{'a': 0.7, 'e': 0.4499999999999995}",30,8,-6.049336217681949,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 0}",1
111,False,"{'a': 0.7, 'e': 0.4449999999999995}",30,6,-2.454468759946714,"{0: 21, 1: 2, 2: 0, 3: 1, 4: 0}",1
112,False,"{'a': 0.7, 'e': 0.4399999999999995}",20,0,-87.06804552287858,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
113,False,"{'a': 0.7, 'e': 0.4349999999999995}",25,16,13.34870802149868,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.7, 'e': 0.4299999999999995}",25,6,5.985203695663609,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 0}",1
115,False,"{'a': 0.7, 'e': 0.4249999999999995}",20,0,-44.380967089643626,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
116,False,"{'a': 0.7, 'e': 0.4199999999999995}",20,9,-59.47640364452237,"{0: 7, 1: 1, 2: 1, 3: 1, 4: 1}",1
117,False,"{'a': 0.7, 'e': 0.4149999999999995}",25,8,16.858506104975124,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.7, 'e': 0.4099999999999995}",20,10,8.06224716881973,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
119,False,"{'a': 0.7, 'e': 0.40499999999999947}",25,14,11.526420498811998,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.7, 'e': 0.39999999999999947}",35,8,-80.79080651311709,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 2}",1
121,False,"{'a': 0.7, 'e': 0.39499999999999946}",25,0,-90.83551866074714,"{0: 18, 1: 2, 2: 2, 3: 2, 4: 1}",0
122,False,"{'a': 0.7, 'e': 0.38999999999999946}",20,0,-40.2743740257881,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
123,False,"{'a': 0.7, 'e': 0.38499999999999945}",25,13,14.232787008967147,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.7, 'e': 0.37999999999999945}",20,9,-30.588179834497453,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
